TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/04/2016-10:01:21.320,37,258.0962,-241.0615,2542.673,300.8811,45.60465,2576.051,334.1123,464.7815,2595.573,341.2751,325.1698,2598.205,148.3428,230.2523,2631.885,50.18712,27.51929,2636.014,57.79205,-24.13651,2330.075,57.91908,-71.62577,2264.84,496.5446,211.6762,2528.879,528.4295,-12.58578,2441.679,472.0814,-276.5819,2294.618,453.3051,-368.1021,2266.709,181.5402,-229.5686,2519.119,164.5809,-109.8951,2221.574,12.59329,-478.2339,1923.026,-20.75002,-522.7243,1782.866,327.7799,-246.1391,2498.214,255.7265,-222.5473,2079.458,160.9618,-577.9612,1970.122,127.3354,-647.9865,1824.936,331.6506,256.2414,2594.785,59.14586,-119.8343,2220.697,125.433,-94.51762,2272.863,448.8275,-452.2294,2252.498,469.0456,-388.622,2277.934
04/04/2016-10:01:21.350,67,258.0649,-241.0775,2542.735,300.8126,45.59732,2576.119,334.0869,464.777,2595.599,341.198,325.1654,2598.264,148.2742,230.2304,2631.942,50.22989,27.44593,2636.078,57.80759,-24.18271,2330.094,58.38833,-72.39458,2264.026,496.5032,211.6678,2528.917,528.4002,-12.61536,2441.737,471.7502,-276.2473,2294.018,451.5822,-355.3504,2267.561,181.4922,-229.5847,2519.183,164.6165,-109.8929,2221.589,11.84716,-477.5235,1922.728,-20.9813,-522.3953,1782.725,327.7564,-246.1507,2498.273,249.6693,-214.8371,2087.625,163.7032,-584.2299,1987.172,128.1408,-640.0938,1845.474,331.5752,256.2378,2594.848,60.13335,-118.1872,2221.258,124.6465,-95.19791,2270.072,447.1014,-437.7792,2246.094,474.3226,-368.6275,2269.359
04/04/2016-10:01:21.405,123,257.9115,-241.0486,2542.807,300.7133,45.59842,2576.197,334.0631,464.7725,2595.623,341.1208,325.1608,2598.322,148.2132,230.2087,2631.993,50.26749,27.37868,2636.136,57.77645,-24.20904,2330.104,58.59458,-72.86883,2263.542,496.4622,211.6587,2528.952,528.3491,-12.68068,2441.791,471.6856,-276.4134,2294.023,454.0234,-374.5024,2265.002,181.2694,-229.5261,2519.296,164.6394,-109.8911,2221.598,10.70041,-476.6668,1922.4,-21.45607,-521.9523,1782.552,327.646,-246.1371,2498.319,244.144,-197.5336,2103.352,173.2045,-588.847,2016.177,137.3212,-629.483,1878.838,331.4945,256.2348,2594.91,63.3771,-117.5223,2222.261,122.9837,-87.40151,2275.146,444.4339,-457.8408,2251.438,482.6465,-376.7919,2256.272
04/04/2016-10:01:21.444,161,257.7367,-241.0145,2542.867,300.6068,45.60238,2576.271,334.0419,464.769,2595.638,341.0472,325.1569,2598.372,148.1613,230.1879,2632.032,50.30473,27.31461,2636.181,72.94471,-83.39548,2351.592,78.45072,-161.9522,2244.024,496.4218,211.6477,2528.984,528.2766,-12.79729,2441.827,471.4745,-276.3438,2293.631,453.9827,-373.0833,2264.275,181.0332,-229.4657,2519.396,164.6486,-109.8888,2221.606,10.02168,-476.1776,1922.216,-21.76197,-521.6831,1782.45,327.5135,-246.1186,2498.348,240.2355,-182.7535,2116.86,181.4635,-591.7482,2039.461,145.5621,-621.8959,1904.468,331.4153,256.2324,2594.966,107.8368,-195.4106,2205.285,119.2252,-132.3806,2231.975,444.9813,-456.8997,2250.825,495.971,-371.6621,2253.852
04/04/2016-10:01:21.506,224,257.5662,-240.9786,2542.917,300.506,45.60804,2576.338,334.0204,464.7651,2595.649,340.9813,325.1534,2598.417,148.1123,230.1682,2632.066,50.3461,27.24913,2636.214,83.54601,-126.1248,2366.367,91.08634,-219.6835,2231.075,496.3834,211.6359,2529.015,528.2028,-12.91962,2441.845,471.2257,-276.3786,2293.339,453.4358,-370.1776,2265.343,180.8069,-229.4068,2519.485,164.6476,-109.886,2221.611,9.625813,-475.9156,1922.119,-21.97021,-521.5148,1782.386,327.3845,-246.0971,2498.368,237.1581,-141.0844,2164.709,219.4987,-590.1282,2123.825,162.1296,-603.8878,2004.766,331.3436,256.2305,2595.016,129.6851,-257.3742,2199.862,116.8188,-169.4692,2197.96,444.4387,-456.1122,2250.854,472.0075,-388.1763,2229.425
04/04/2016-10:01:21.546,264,257.4847,-240.9657,2542.952,300.4391,45.60672,2576.389,333.9997,464.7594,2595.657,340.9283,325.1469,2598.452,148.0667,230.1499,2632.095,50.38692,27.18654,2636.24,87.94469,-139.7715,2369.948,99.90775,-252.3438,2223.316,496.3456,211.6213,2529.046,528.1232,-13.0517,2441.855,470.6286,-276.2706,2292.788,452.6227,-362.9391,2266.634,180.6978,-229.3871,2519.545,164.6368,-109.8842,2221.618,9.616467,-475.955,1922.15,-22.01643,-521.4858,1782.379,327.3253,-246.0884,2498.382,236.3672,-212.9319,2189.395,238.732,-620.2396,2163.58,174.966,-567.1663,2074.188,331.2875,256.2252,2595.056,146.9162,-292.8835,2192.957,133.8385,-172.6748,2168.388,443.7364,-448.6926,2248.286,433.7404,-372.2159,2225.243
04/04/2016-10:01:21.639,357,257.3999,-241.0116,2543.002,300.3808,45.58511,2576.439,333.9823,464.7509,2595.657,340.8834,325.1318,2598.48,148.0271,230.1301,2632.115,50.45276,27.10378,2636.297,71.23582,-74.12309,2347.087,75.24663,-152.824,2243.382,496.3065,211.6028,2529.079,528.0611,-13.15641,2441.863,469.9529,-276.0012,2292.068,451.601,-355.6566,2267.713,180.6319,-229.4265,2519.597,164.5499,-109.8844,2221.632,9.977565,-476.3152,1922.279,-21.92076,-521.5696,1782.409,327.2177,-246.1426,2498.427,241.3987,-228.617,2152.305,211.0809,-613.7243,2100.855,159.5295,-594.6981,1993.398,331.2401,256.2097,2595.09,90.45718,-194.8657,2205.877,126.8274,-123.2202,2210.461,444.3048,-438.9633,2243.988,382.8232,-331.6427,2247.171
04/04/2016-10:01:21.705,423,257.3061,-241.0967,2543.064,300.3292,45.54974,2576.487,333.9688,464.7403,2595.652,340.8488,325.1091,2598.503,147.9926,230.1109,2632.133,50.52574,27.01845,2636.359,56.70292,-10.59371,2325.275,53.10706,-56.23532,2263.92,496.2707,211.5828,2529.109,528.0186,-13.22796,2441.868,471.3795,-277.589,2294.037,454.966,-381.1604,2264.734,180.5901,-229.4958,2519.639,164.4347,-109.8998,2221.644,10.37896,-476.7305,1922.395,-21.79341,-521.6838,1782.436,327.0525,-246.2549,2498.51,236.0208,-181.9123,2152.336,210.5583,-614.0879,2096.644,167.873,-571.7766,1983.021,331.2015,256.186,2595.118,36.3702,-95.69691,2218.96,122.3062,-79.14263,2261.038,449.7173,-469.3519,2250.042,354.6227,-363.3343,2237.846
04/04/2016-10:01:21.771,488,257.2713,-241.1709,2543.112,300.2986,45.51097,2576.532,333.9631,464.7284,2595.644,340.8216,325.0804,2598.527,147.9728,230.0968,2632.149,50.61448,26.93768,2636.413,48.06467,24.2172,2313.42,39.9135,-0.398819,2275.31,496.2504,211.5636,2529.128,527.9917,-13.27442,2441.867,471.5132,-277.8988,2294.302,454.1266,-375.9124,2263.182,180.5972,-229.5674,2519.677,164.2681,-109.9238,2221.649,10.73776,-477.1139,1922.457,-21.6675,-521.798,1782.446,326.9687,-246.3418,2498.57,231.3767,-123.2953,2157.953,222.9717,-572.4348,2110.617,181.4056,-589.7872,1993.606,331.172,256.157,2595.149,21.72496,-46.20115,2228.342,115.922,-50.20454,2296.258,449.354,-461.0899,2248.128,369.4674,-354.9974,2254.156
04/04/2016-10:01:21.835,553,257.2458,-241.2279,2543.158,300.2737,45.47646,2576.594,334.0042,464.7268,2595.646,340.8066,325.0497,2598.591,147.9794,230.0884,2632.18,50.73512,26.87706,2636.475,50.92736,10.15502,2318.716,43.98014,-20.26588,2270.44,496.2397,211.546,2529.139,527.985,-13.28737,2441.862,471.006,-277.3655,2293.569,452.9451,-368.1071,2263.273,180.6035,-229.6186,2519.712,164.0423,-109.9525,2221.654,10.81828,-477.305,1922.483,-21.64813,-521.8554,1782.449,326.9036,-246.4117,2498.629,228.467,-83.0765,2172.557,242.0089,-541.4268,2144.912,199.1251,-598.8024,2027.91,331.1511,256.1277,2595.212,41.05059,-64.85698,2228.298,111.9978,-53.48526,2303.833,444.7479,-453.2148,2247.614,409.9378,-378.5904,2240.116
