TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/06/2016-03:27:07.541,35,76.10989,-215.7442,2881.979,75.79021,21.81044,2886.687,70.33426,382.4654,2810.994,75.23872,255.062,2875.008,-96.20835,186.9893,2861.825,-191.7464,25.42572,2769.466,-127.8452,-134.4694,2544.648,-99.38298,-246.9419,2445.089,245.8874,178.8222,2853.687,327.5435,-10.79414,2804.073,273.4772,-204.5278,2624.381,239.9283,-265.0056,2585.161,2.193973,-214.1361,2859.271,-102.7647,-144.6504,2485.308,-149.9755,-617.6381,2393.75,-145.9263,-672.9689,2295.34,148.5582,-213.3638,2848.219,144.2209,-187.9587,2475.768,10.75559,-617.3942,2372.982,-6.327166,-677.1233,2278.02,75.38309,197.2932,2880.175,-100.7482,-298.3569,2411.044,-51.71712,-259.151,2467.316,198.7746,-326.7915,2532.128,246.4363,-313.3698,2594.584
04/06/2016-03:27:07.580,74,76.04604,-217.8522,2880.267,76.31795,18.82599,2881.709,73.06734,377.8297,2802.279,77.5249,251.7177,2867.11,-95.59644,185.5872,2859.122,-191.2933,21.74203,2751.68,-114.8053,-127.0014,2534.39,-96.50845,-226.9441,2457.352,247.042,177.2085,2847.01,328.9652,-14.74241,2798.402,273.332,-197.4365,2632.782,241.2545,-262.6789,2584.503,1.938815,-215.9474,2857.54,-103.0979,-145.9302,2484.768,-153.6303,-636.9597,2390.482,-142.3992,-675.4005,2289.589,148.7815,-215.7748,2846.424,142.5645,-192.1596,2474.793,3.859172,-626.6611,2360.08,15.29785,-684.3934,2293.607,77.11842,194.0228,2872.956,-99.33168,-281.4558,2403.706,-56.25169,-254.9364,2471.152,208.899,-322.4823,2535.465,247.0353,-307.0063,2573.393
04/06/2016-03:27:07.646,140,75.70088,-219.7822,2878.959,76.79741,15.81431,2876.625,78.91048,369.5105,2787.369,80.07542,247.8965,2857.813,-93.09257,183.3839,2846.541,-191.0823,19.4873,2741.177,-103.8624,-128.3705,2523.818,-92.79203,-228.3333,2458.65,248.8331,175.9678,2840.766,330.8859,-18.64974,2791.82,276.0116,-194.1322,2641.038,242.8448,-259.1358,2586.413,1.336283,-217.2299,2856.413,-103.5706,-147.3516,2484.427,-153.3516,-642.028,2390.006,-141.0444,-676.2082,2287.534,148.6333,-218.3753,2844.891,141.2902,-195.3398,2474.183,0.6975496,-630.5906,2355.022,-3.626772,-681.493,2291.372,79.08057,190.3964,2864.693,-90.23512,-290.0044,2403.284,-59.45514,-269.1881,2468.772,216.9868,-316.9282,2537.054,250.1443,-301.1843,2561.302
04/06/2016-03:27:07.714,208,75.90414,-227.9551,2852.322,79.03429,8.512761,2852.961,86.96957,358.8647,2765.16,83.07171,242.0462,2840.935,-90.83988,182.0722,2831.705,-190.3411,18.09307,2732.87,-100.7913,-133.34,2517.398,-89.85306,-245.4435,2450.173,252.3358,173.3688,2829.662,333.7744,-23.85912,2783.591,284.5009,-192.4599,2651.574,252.2331,-237.1917,2605.079,0.02787786,-224.7914,2826.722,-104.4555,-149.8209,2484.357,-150.5356,-632.0765,2393.005,-139.8169,-676.2322,2286.588,150.0922,-226.7916,2821.427,140.2605,-197.8704,2472.812,0.4114733,-630.2991,2356.342,-15.09413,-684.5239,2282.812,82.10036,183.9671,2845.593,-80.4446,-304.8418,2401.232,-60.36215,-279.7154,2466.458,235.5105,-294.8786,2549.395,269.8179,-264.5097,2591.638
04/06/2016-03:27:07.754,248,75.84372,-232.6432,2836.029,80.0406,3.913582,2838.221,92.00587,351.6915,2751.361,84.38853,236.866,2828.587,-88.80692,181.6814,2819.292,-189.7113,17.92848,2729.31,-171.2826,-121.899,2541.357,-146.0001,-196.3582,2475.934,255.2755,170.8984,2819.191,335.818,-27.73442,2777.801,273.8185,-198.7407,2639.895,249.5763,-242.5091,2599.372,-0.8339047,-229.3143,2807.844,-105.4834,-152.6842,2484.292,-150.0518,-620.8755,2397.629,-139.3528,-674.8449,2287.991,150.6756,-231.4349,2807.667,139.7028,-199.2671,2471.412,1.5648,-628.3118,2359.655,-21.81293,-686.7988,2275.117,83.41486,179.0364,2832.806,-126.4656,-240.7549,2424.992,-101.9359,-186.4436,2478.373,222.0106,-299.1812,2523.505,270.6058,-286.2673,2607.488
04/06/2016-03:27:07.844,338,75.86024,-235.4017,2825.875,80.87317,0.4945066,2827.622,98.00045,343.4597,2736.009,88.00966,228.3924,2811.299,-87.64554,181.7407,2812.307,-188.2724,19.55166,2721.653,-221.9423,-113.7066,2557.697,-191.6854,-152.8857,2492.173,259.1309,166.2791,2805.753,337.9273,-31.41379,2772.15,277.0956,-203.5837,2641.391,250.618,-241.3172,2601.804,-1.24089,-232.0005,2796.336,-106.8722,-156.0044,2484.166,-148.9914,-613.2239,2400.177,-139.3836,-672.4788,2290.447,151.0188,-234.2189,2798.767,139.063,-200.1934,2469.307,0.6603945,-628.1798,2360.979,16.37407,-695.8961,2295.834,85.87749,172.5505,2818.343,-170.2662,-188.6535,2441.92,-140.3296,-108.948,2489.722,227.7367,-302.8071,2535.959,283.2308,-264.7967,2644.359
04/06/2016-03:27:07.884,378,75.66714,-236.1729,2822.932,81.24409,-0.871812,2823.526,100.7835,340.3248,2729.242,90.53253,224.4511,2802.524,-83.93685,183.4334,2802.453,-185.6738,19.93202,2707.374,-244.3648,-111.1486,2561.285,-217.1868,-124.947,2503.791,261.9026,163.6126,2796.999,339.7751,-33.7784,2768.265,279.791,-206.681,2642.861,250.8141,-243.1353,2601.724,-1.382035,-232.4613,2793.801,-108.1078,-158.5229,2484.035,-149.1366,-610.7047,2401.16,-139.4048,-670.2919,2292.781,150.8717,-235.1519,2795.824,138.4688,-201.0974,2467.084,-0.0298846,-628.2692,2361.097,32.09738,-699.5707,2300.829,87.68928,169.4224,2811.081,-194.6507,-158.076,2450.11,-160.9443,-63.17317,2498.243,230.2078,-308.454,2543.536,287.6275,-254.9646,2655.624
04/06/2016-03:27:07.928,422,75.23753,-235.7235,2825.599,81.37573,-1.126748,2823.516,102.3405,339.3895,2726.475,92.35966,222.6265,2798.322,-79.57711,184.6943,2794.847,-183.6457,20.92764,2698.846,-226.6171,-113.66,2551.492,-208.9974,-122.5918,2501.038,263.5694,161.9837,2792.271,341.1244,-35.14222,2765.862,290.9214,-209.6537,2650.27,256.551,-236.0865,2611.435,-1.373012,-231.4075,2798.149,-108.9566,-160.0318,2483.935,-149.8082,-614.5645,2413.791,-138.1876,-669.4578,2293.59,150.1641,-235.2054,2797.376,137.7457,-202.6482,2464.921,-0.9084129,-628.8563,2360.429,33.6494,-698.6462,2296.872,89.06585,168.024,2807.965,-187.7174,-167.9142,2441.323,-152.9921,-73.42103,2501.024,243.2305,-302.8565,2558.809,293.1587,-232.9109,2643.118
04/06/2016-03:27:07.959,453,74.8825,-235.1136,2829.122,81.46088,-0.9719372,2824.863,103.6712,338.9293,2725.644,93.23339,222.6646,2797.975,-77.04845,185.4544,2791.128,-181.651,21.88065,2691.902,-190.1911,-125.7803,2520.072,-176.5856,-154.9092,2474.052,264.2561,161.5211,2790.908,342.2176,-36.02835,2764.333,298.3206,-210.7083,2655.5,261.7924,-229.2447,2620.268,-1.317881,-230.2922,2803.021,-109.504,-160.7509,2483.875,-150.9287,-626.3109,2416.011,-137.4843,-669.1495,2293.681,149.4785,-235.1244,2799.864,137.0379,-204.3196,2463.343,-1.683129,-629.3794,2359.667,20.04846,-696.0096,2283.672,89.74425,167.9815,2807.864,-167.6519,-213.4603,2424.63,-126.1152,-130.3241,2461.826,251.1477,-298.0111,2567.281,305.1812,-202.9282,2629.519
04/06/2016-03:27:08.045,539,76.3241,-235.5466,2832.369,83.77757,-1.956346,2824.005,110.8298,337.0628,2718.823,96.67773,222.9388,2795.224,-75.29027,185.6717,2788.777,-179.0325,24.69119,2680.748,-167.0699,-132.8347,2502.366,-156.0182,-179.8923,2453.079,268.1438,159.7919,2788.124,343.9204,-38.94527,2761.583,302.2104,-212.5526,2658.084,262.7917,-231.1645,2623.664,0.1734234,-230.0693,2806.698,-109.834,-161.0702,2483.815,-151.2697,-632.0288,2418.159,-136.1614,-668.5112,2293.649,150.8876,-236.3916,2802.661,136.5227,-205.8033,2463.173,-4.190127,-636.0891,2353.038,-8.930503,-696.6805,2256.054,93.21069,167.5744,2804.927,-160.0308,-255.3374,2412.417,-116.1106,-185.4213,2433.913,241.8014,-317.3751,2559.048,287.0901,-245.1037,2611.683
