TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/06/2016-02:33:22.979,31,101.8702,-365.7056,2852.134,87.9914,-81.52177,2873.896,27.94749,316.5722,2821.449,70.69461,193.6059,2878.017,-105.5079,118.4606,2913.845,-180.5559,-69.85999,2824.079,-33.25372,-154.0999,2619.481,-46.68695,-188.9796,2567.198,218.6162,142.7292,2808.833,274.3158,-46.80436,2716.621,265.4768,168.7886,2815.714,186.7582,199.1274,2801.008,9.691746,-374.6612,2833.6,-170.7,-206.2374,2492.369,-253.8023,-706.1906,2456.916,-163.5333,-651.1927,2326.565,192.3068,-349.9816,2807.292,71.231,-231.0213,2462.349,31.37057,-624.5684,2431.235,-7.435517,-689.2928,2313.199,75.33221,125.728,2879.641,-24.12093,-186.1425,2461.226,-129.9082,-270.9019,2535.688,148.5502,263.1684,2858.266,140.7968,151.5673,2776.943
04/06/2016-02:33:23.017,70,102.0002,-365.853,2852.048,87.0506,-82.76491,2872.238,23.56567,314.6186,2818.727,67.9884,191.2802,2874.819,-108.4802,115.661,2913.202,-183.4247,-71.18682,2825.251,-40.09731,-154.3434,2619.618,-51.76567,-187.009,2568.59,216.7721,142.667,2807.064,274.6703,-46.5494,2715.949,265.6308,169.2097,2815.379,185.8706,199.0716,2797.061,9.994699,-374.6292,2833.888,-169.3986,-209.1303,2492.685,-254.3285,-706.0643,2456.935,-163.3268,-651.3988,2327.054,192.2835,-350.4518,2806.446,71.27544,-231.7624,2462.101,31.23385,-624.4527,2432.115,-6.950577,-689.3376,2313.299,73.02782,123.582,2876.621,-26.56232,-188.2568,2459.962,-119.5204,-268.8412,2576.566,148.4671,263.1084,2856.649,141.1729,153.2123,2772.953
04/06/2016-02:33:23.057,109,102.4861,-366.0141,2852.135,86.19509,-84.05044,2870.875,19.51757,313.6649,2817.49,63.1329,186.0558,2871.243,-111.3124,112.9316,2912.69,-185.235,-72.86203,2826.028,-71.18245,-153.8093,2590.513,-56.00116,-193.275,2539.25,214.7957,142.7073,2805.308,274.976,-46.13297,2715.029,265.7484,169.8271,2814.859,185.1942,199.129,2794.392,10.75407,-374.7905,2834.494,-169.9344,-223.754,2492.138,-254.51,-705.944,2456.879,-162.9772,-651.6388,2327.388,192.5771,-350.6295,2805.902,71.28096,-232.2084,2461.955,30.65519,-624.3391,2432.561,-6.031523,-689.4569,2313.532,69.6647,119.8306,2873.673,6.510575,-207.632,2439.373,-100.9919,-230.0834,2526.529,147.4059,263.077,2855.35,141.203,154.3553,2770.715
04/06/2016-02:33:23.118,170,102.9714,-366.1951,2852.342,85.21517,-85.15367,2869.962,13.81832,313.0268,2816.908,59.04147,182.8236,2869.232,-114.8293,109.7558,2912.257,-186.8864,-75.72158,2826.117,-85.65164,-153.9776,2574.271,-53.81258,-199.1535,2519.781,212.9632,142.9329,2803.959,275.137,-45.61859,2714.282,265.8226,170.4253,2814.351,184.6294,199.3059,2792.155,11.52184,-375.0638,2835.249,-184.3113,-274.3171,2487.31,-254.4765,-705.8616,2456.778,-162.5246,-651.73,2327.666,192.8212,-350.6864,2805.636,71.27972,-232.3775,2461.884,29.74572,-624.2648,2432.63,-5.059587,-689.6549,2313.65,66.49146,117.2393,2871.923,36.65337,-219.6847,2429.136,-83.71432,-202.6509,2464.263,146.5685,262.7635,2852.673,140.5936,155.9469,2768.494
04/06/2016-02:33:23.153,205,103.4397,-366.3611,2852.612,83.99188,-86.40403,2869.334,8.000395,312.5536,2816.823,54.755,179.5677,2867.894,-118.3403,106.6936,2911.784,-188.629,-79.19917,2825.641,-94.58176,-154.1768,2563.105,-54.47873,-203.0431,2505.691,211.4637,143.2409,2803.103,275.122,-44.94668,2713.507,265.8201,171.0498,2813.77,183.891,199.4181,2789.759,12.2733,-375.3688,2836.087,-192.7316,-300.9903,2484.768,-254.3962,-705.8122,2456.692,-162.0884,-651.6854,2327.947,193.0666,-350.6362,2805.589,71.26591,-232.3963,2461.832,28.66527,-623.283,2432.042,-4.266518,-689.8265,2313.733,62.86942,114.4,2870.729,43.41354,-229.0018,2420.455,-94.41205,-207.2067,2411.811,145.3641,262.5512,2850.104,140.2238,156.7606,2766.921
04/06/2016-02:33:23.179,232,103.8704,-366.6683,2853.005,82.4754,-88.01328,2868.972,1.546104,312.4251,2816.737,51.74875,177.5196,2867.385,-121.4804,103.8636,2911.405,-190.6989,-82.61324,2824.861,-96.81025,-154.6006,2559.146,-58.18205,-204.1897,2500.243,209.0835,143.7049,2802.16,275.0166,-44.05684,2712.741,265.7685,171.7696,2813.143,183.2965,199.4792,2788.016,13.0482,-375.9724,2837.104,-197.3834,-314.5266,2483.387,-254.3224,-705.7567,2456.542,-161.7696,-651.8265,2327.892,193.2191,-350.601,2805.669,71.25284,-232.3967,2461.781,28.10498,-616.0794,2430.799,-3.667727,-689.9732,2313.757,59.93279,112.2187,2870.202,24.24484,-232.816,2418.251,-119.4497,-228.7914,2402.052,144.8699,262.2336,2847.586,139.9285,157.1699,2766.293
04/06/2016-02:33:23.243,295,104.2365,-367.0489,2853.379,80.87391,-89.70783,2868.662,-6.46457,312.6563,2817.135,49.18409,176.1384,2867.183,-124.9205,100.7791,2910.774,-192.9588,-86.25494,2823.726,-94.35397,-155.3575,2560.617,-62.11544,-203.2735,2501.943,205.7295,144.1593,2801.047,274.8655,-42.99029,2711.973,265.6264,172.755,2812.478,182.3519,199.4893,2785.604,13.77839,-376.7587,2837.975,-195.0305,-306.3544,2484.035,-254.2751,-705.6874,2456.395,-161.6069,-651.9742,2327.769,193.3044,-350.6035,2805.748,71.24613,-232.4285,2461.718,28.72398,-613.0231,2429.91,-3.230739,-690.1343,2313.664,57.30612,110.4907,2869.889,5.891703,-229.4329,2422.669,-135.5995,-249.0179,2426.804,144.1254,262.0003,2844.688,139.6984,157.8696,2764.626
04/06/2016-02:33:23.283,336,104.5278,-367.3568,2853.394,79.22081,-91.05097,2867.956,-13.58862,312.635,2817.739,46.76794,175.5778,2866.814,-127.437,98.35704,2910.263,-194.7923,-88.95341,2822.748,-91.2056,-156.1306,2563.362,-64.33111,-201.7045,2505.761,202.3335,144.4788,2799.949,274.7159,-41.9505,2711.286,265.4451,173.8082,2811.842,181.6238,199.6656,2783.948,14.31619,-377.462,2838.136,-191.1698,-296.2998,2484.754,-254.2379,-705.6154,2456.266,-161.5314,-652.202,2327.553,193.4345,-350.5506,2805.503,71.2438,-232.4735,2461.669,28.5602,-611.3423,2429.415,-2.973806,-690.2064,2313.521,54.93321,109.5616,2869.362,-4.681273,-225.3967,2427.558,-133.8237,-256.0356,2457.44,143.7948,261.8412,2843.459,139.273,158.597,2763.616
04/06/2016-02:33:23.346,399,104.9363,-367.487,2853.089,77.88487,-91.95279,2867.149,-19.87115,312.9206,2818.517,44.0908,174.9464,2866.13,-129.5925,96.28917,2910.032,-196.1334,-90.97138,2821.947,-89.26748,-156.7717,2564.998,-64.91809,-200.8024,2508.394,200.0187,144.666,2799.264,274.0756,-40.73925,2709.976,264.874,175.1575,2810.834,180.6329,199.9925,2782.545,14.77639,-378.0009,2837.913,-188.0194,-288.4963,2485.38,-254.1872,-705.544,2456.183,-161.4953,-652.427,2327.354,194.0105,-349.8052,2804.533,71.21496,-233.2345,2461.516,27.96763,-611.3352,2429.661,-2.764508,-690.2487,2313.377,52.69461,108.8621,2868.605,-0.89775,-222.5898,2432.019,-120.6781,-244.9792,2469.239,140.3516,263.2083,2843.499,137.5483,160.7533,2762.595
04/06/2016-02:33:23.411,464,105.5213,-367.3517,2852.032,76.51656,-92.23102,2866.055,-25.31641,312.8953,2819.723,40.38599,175.2357,2865.4,-131.5107,94.26673,2910.015,-197.043,-93.1285,2820.352,-88.87475,-157.0202,2565.306,-64.40746,-200.2793,2510.16,198.7452,144.7747,2798.976,273.2208,-39.25554,2708.049,263.9603,177.1393,2809.468,179.4898,200.7354,2781.467,15.23588,-378.3524,2836.978,-186.3958,-285.8118,2485.483,-254.0805,-705.4792,2456.127,-161.4378,-652.6456,2327.176,194.8123,-348.5208,2802.64,71.2256,-234.0665,2461.358,27.42908,-612.1711,2430.043,-2.812069,-690.2151,2312.837,49.8672,109.0072,2867.701,7.774819,-221.9034,2434.29,-109.0315,-228.2913,2460.237,136.3237,264.8202,2843.636,136.2572,162.1545,2761.893
