TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/05/2016-06:07:17.814,34,201.1438,-365.18,2980.773,239.6626,-74.06181,3055.446,279.3849,345.492,3120.304,276.5862,210.4427,3118.834,88.92803,119.9261,3095.463,-2.554821,-28.24177,2928.134,61.48328,-168.1865,2739.344,45.29226,-170.2984,2696.556,425.1379,119.1037,3041.132,452.6215,-20.95867,2902.709,389.6693,-121.8723,2756.997,336.2043,-190.072,2651.866,124.2105,-356.7076,2969.223,68.62355,-220.05,2723.933,58.02032,-617.4155,2643.933,75.82188,-656.1353,2523.88,273.3046,-365.0639,2922.704,320.7156,-243.4649,2681.964,308.9879,-693.3324,2655.323,238.7873,-670.22,2528.023,267.6236,139.8266,3105.412,51.37651,-211.4312,2665.62,3.291629,-171.6183,2682.173,313.8129,-218.5645,2623.435,361.9385,-218.2337,2631.19
04/05/2016-06:07:17.857,77,201.0592,-365.5117,2981.971,239.6684,-74.02699,3055.658,279.3238,345.5216,3120.444,276.5931,210.5317,3118.935,88.69534,119.8683,3095.373,-3.280444,-29.41551,2924.794,48.92104,-166.4112,2722.043,45.13528,-173.2265,2695.586,425.0848,119.1714,3041.062,452.2138,-28.81335,2873.613,375.3427,-183.0061,2727.641,336.2531,-250.1139,2648.373,124.1198,-356.9792,2970.407,68.65765,-220.0453,2723.899,57.84203,-617.3023,2644.2,71.59933,-655.3346,2525.716,273.229,-365.4401,2923.856,320.7711,-242.3427,2682.379,295.9659,-658.0492,2631.973,236.3248,-671.3184,2520.246,267.6274,139.9149,3105.507,53.70265,-228.8053,2667.021,4.558261,-178.5931,2679.213,309.8828,-299.1449,2619.009,369.5947,-269.3549,2644.135
04/05/2016-06:07:17.917,136,201.0208,-364.7032,2979.198,239.6551,-73.97753,3055.707,279.2698,345.5361,3120.558,276.5905,210.6024,3119.014,88.49063,119.8277,3095.292,-1.1834,-22.68224,2964.544,31.21036,-145.2159,2735.305,43.45972,-172.311,2695.419,425.0245,119.2476,3040.976,456.8138,-26.94541,2885.279,385.1442,-170.2377,2735.014,333.2672,-238.2343,2645.062,124.0263,-356.1697,2967.022,68.67806,-220.0464,2723.875,58.00409,-616.8973,2644.124,68.43626,-654.7115,2526.943,273.2458,-364.6158,2921.401,320.9599,-240.6357,2682.311,270.7895,-623.5842,2607.74,230.0752,-672.9696,2509.854,267.6207,139.9854,3105.574,46.02309,-213.6469,2667.236,5.28671,-180.1412,2678.19,305.4959,-279.7931,2619.045,371.9139,-259.3562,2647.12
04/05/2016-06:07:17.982,202,200.9744,-364.4512,2978.145,239.6373,-73.95482,3055.746,279.218,345.5477,3120.654,276.5815,210.6654,3119.094,88.33064,119.7859,3095.227,2.597471,-19.08744,2986.18,23.07672,-129.469,2744.281,42.66262,-172.2992,2695.241,424.964,119.3176,3040.899,447.3634,-39.01096,2856.584,381.4326,-181.7754,2729.491,333.1768,-221.6803,2645.081,123.9619,-355.9175,2965.667,68.68897,-220.0644,2723.856,58.20019,-616.5831,2643.955,67.09318,-654.4304,2527.386,273.2048,-364.3853,2920.555,321.0218,-239.5452,2682.5,230.4776,-589.5179,2596.238,224.1955,-672.079,2502.954,267.606,140.0478,3105.644,42.2396,-209.3821,2668.005,4.188247,-177.9577,2679.249,303.6976,-272.2439,2623.125,376.5298,-249.1178,2651.043
04/05/2016-06:07:18.031,251,200.8973,-364.4017,2977.474,239.6123,-73.94044,3055.758,279.1665,345.5549,3120.727,276.5642,210.7185,3119.157,88.22616,119.7567,3095.187,5.507006,-17.57,2997.515,20.60987,-119.8559,2752.156,41.9951,-171.9214,2695.257,424.9035,119.3924,3040.843,450.7778,-28.9621,2880.319,389.9959,-141.3631,2748.348,332.3449,-191.9585,2644.806,123.9,-355.8459,2964.682,68.69363,-220.0957,2723.838,58.19823,-616.5703,2643.56,75.37611,-655.5909,2524.621,273.1057,-364.3714,2920.175,320.6193,-240.8254,2682.269,208.6867,-578.5939,2596.684,220.0315,-670.1268,2501.417,267.585,140.1013,3105.703,39.56033,-203.4803,2668.566,3.117183,-177.4116,2680.264,305.1141,-228.674,2624.89,373.1173,-225.6146,2645.876
04/05/2016-06:07:18.116,336,200.7542,-364.818,2978.354,239.5697,-73.93689,3055.827,279.1168,345.5615,3120.79,276.5431,210.7673,3119.216,88.17429,119.7329,3095.177,6.460455,-17.6944,2992.677,45.73843,-139.9886,2767.253,61.28083,-186.8792,2697.254,424.8565,119.4489,3040.811,451.0045,-35.06168,2863.557,380.1841,-140.3402,2743.323,332.264,-174.2547,2645.484,123.7954,-356.1771,2965.21,68.7,-220.1415,2723.818,42.98189,-630.2578,2653.008,88.53443,-657.6485,2519.233,272.9327,-364.9028,2921.494,320.4365,-241.4217,2682.163,213.1239,-590.4792,2610.637,218.3081,-668.2697,2501.456,267.5599,140.1518,3105.766,58.10226,-232.2335,2667.742,24.69711,-180.5887,2664.885,306.1699,-204.5882,2626.865,370.2538,-212.4937,2641.419
04/05/2016-06:07:18.158,378,200.7754,-364.9859,2978.695,239.5515,-73.92783,3055.847,279.0592,345.5675,3120.868,276.5247,210.8103,3119.265,88.15731,119.7168,3095.193,6.066045,-19.10992,2981.625,61.67004,-155.252,2772.208,64.47549,-182.6884,2699.961,424.8168,119.4997,3040.807,451.9645,-38.82808,2853.009,372.5122,-145.2761,2738.217,332.1192,-175.0845,2647.794,123.821,-356.3699,2965.536,68.70871,-220.187,2723.798,37.10264,-635.7749,2656.262,97.48225,-659.2325,2514.769,272.9665,-365.0222,2921.868,320.2751,-242.0383,2682.083,231.266,-607.9626,2622.174,246.7988,-672.952,2527.768,267.542,140.1963,3105.814,62.39069,-222.6936,2666.704,23.4683,-166.9164,2669.203,305.8031,-194.7988,2626.585,366.1385,-214.4248,2637.754
04/05/2016-06:07:18.238,457,200.8338,-365.3208,2979.563,239.5398,-73.9351,3055.89,279.0053,345.5433,3120.933,276.5101,210.8341,3119.295,88.14822,119.6986,3095.219,2.963183,-29.39595,2942.018,70.18449,-164.0933,2778.666,61.768,-178.1708,2701.334,424.7783,119.5478,3040.824,448.3184,-43.95179,2841.086,368.13,-174.5129,2724.663,333.6889,-197.2851,2646.164,123.8873,-356.7312,2966.48,68.72025,-220.239,2723.781,43.43637,-634.7296,2652.232,102.0207,-660.0557,2512.47,273.0277,-365.3298,2922.737,319.8752,-244.1488,2681.661,245.2267,-618.7783,2627.548,234.9691,-667.4507,2511.656,267.5284,140.2229,3105.85,60.86609,-220.0105,2666.527,15.62529,-166.4854,2674.76,307.6484,-223.4098,2623.597,367.096,-226.7086,2639.906
04/05/2016-06:07:18.278,498,200.8957,-365.6349,2980.371,239.531,-73.95692,3055.964,278.9558,345.5096,3120.991,276.4984,210.8507,3119.319,88.14011,119.6838,3095.263,1.221367,-34.37439,2923.73,59.95304,-158.0114,2783.189,54.49582,-171.2883,2701.788,424.7395,119.5721,3040.863,451.2986,-33.90224,2878.902,371.8857,-175.5186,2721.352,334.1636,-210.0926,2645.939,123.9623,-357.0412,2967.293,68.73228,-220.2928,2723.77,50.94113,-630.9144,2647.471,82.73783,-654.9893,2517.48,273.0742,-365.6521,2923.612,319.7879,-244.7557,2681.524,246.7157,-617.5633,2621.314,218.7533,-662.7403,2493.11,267.5181,140.2425,3105.881,54.83863,-208.2332,2667.423,4.673478,-167.979,2679.634,307.7155,-239.7982,2621.945,367.7137,-235.3364,2641.485
04/05/2016-06:07:18.324,543,200.943,-366.0646,2981.379,239.5312,-74.02654,3056.108,278.9149,345.4583,3121.049,276.4943,210.8553,3119.333,88.04858,119.6409,3095.291,3.702597,-32.69766,2934.097,39.67771,-135.7593,2793.702,47.11508,-166.1267,2701.022,424.6942,119.5977,3040.939,453.1702,-31.06739,2883.132,371.3219,-171.4485,2709.823,332.861,-210.5214,2645.569,124.0368,-357.4605,2968.256,68.73813,-220.3467,2723.78,57.57447,-626.6481,2643.317,71.28742,-652.1545,2521.26,273.0866,-366.0897,2924.703,319.7386,-245.488,2681.402,242.6635,-612.4834,2614.78,203.7967,-660.3306,2479.366,267.5149,140.2489,3105.909,46.93685,-197.8877,2666.954,-2.744201,-169.6817,2683.847,307.958,-245.3801,2621.425,368.4811,-236.7038,2642.374
