TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/06/2016-06:43:06.472,18,405.2563,-97.14719,2601.236,407.4105,73.15319,2692.06,411.1341,361.406,2785.28,415.4186,234.2761,2779.262,256.8776,122.5525,2789.161,156.5138,-56.20141,2775.521,104.7085,-130.8548,2586.428,65.33709,-171.8846,2408.181,566.6389,135.0284,2714.834,658.7092,-47.37694,2658.593,641.5418,-143.9811,2512.89,584.8329,-185.9083,2356.209,332.7556,-97.61741,2585.927,256.3778,-184.3952,2306.948,428.8486,-596.8679,2215.61,406.853,-645.5739,2109.342,470.0409,-94.69446,2566.991,457.2868,-180.058,2199.054,406.2951,-515.3843,2176.721,375.8729,-566.514,2069.873,413.9159,194.3432,2761.472,42.45924,-202.385,2356.823,32.53343,-183.6555,2394.69,572.1843,-186.9034,2327.739,584.0584,-189.149,2318.16
04/06/2016-06:43:06.507,53,406.0569,-97.98366,2601.71,408.0729,72.74957,2691.971,415.4975,361.1564,2780.609,418.344,234.5617,2775.068,259.7968,126.0048,2787.663,153.5214,-67.55823,2770.617,103.033,-130.9113,2584.543,59.98045,-173.2034,2449.179,569.9017,135.5057,2713.012,659.9263,-49.65441,2654.717,643.0955,-146.9027,2508.661,565.7178,-195.4606,2306.729,333.4411,-98.30302,2586.369,259.4016,-182.0304,2305.574,432.3321,-595.4222,2215.3,411.1262,-642.1699,2108.925,470.7545,-95.60355,2567.578,459.1157,-175.3881,2201.302,407.0837,-510.7441,2177.578,376.679,-558.9414,2069.508,416.1333,194.2862,2757.941,33.50007,-197.3214,2402.472,24.45106,-187.9134,2415.568,556.8871,-202.3662,2299.89,568.0264,-206.9556,2248.581
04/06/2016-06:43:06.570,116,406.0052,-98.4081,2602.039,408.8556,72.33935,2691.661,423.2864,360.9938,2774.816,422.0993,234.9211,2771.003,263.2532,131.1323,2786.075,155.6861,-63.43332,2769.406,105.8552,-134.2173,2616.337,86.18582,-153.1282,2565.005,573.6805,135.5368,2709.508,660.6679,-52.54764,2649.084,645.5291,-151.0251,2503.454,583.3267,-191.9471,2333.844,333.0546,-98.29681,2586.851,262.1922,-179.9162,2303.971,434.01,-594.4329,2214.89,409.9709,-641.5985,2106.566,470.5098,-96.62669,2567.648,459.6966,-172.1323,2202.099,407.5477,-507.653,2177.906,377.1117,-554.3762,2069.128,418.9878,194.3369,2754.319,61.96598,-169.3304,2503.402,64.41563,-152.1119,2544.631,573.5936,-217.0123,2295.145,590.9596,-203.3178,2284.163
04/06/2016-06:43:06.606,151,405.4754,-98.51028,2602.183,409.9756,71.8932,2690.938,430.7324,361.11,2769.781,426.1227,235.3878,2766.937,265.9167,136.0017,2785.072,158.5671,-55.82983,2769.848,107.6326,-135.5577,2637.284,100.8969,-145.748,2606.128,577.2255,135.2967,2705.663,660.8039,-55.10967,2642.397,654.2995,-154.1334,2491.908,613.6224,-181.6802,2395.448,332.0843,-97.79693,2587.257,263.94,-178.949,2302.805,434.1042,-594.2985,2214.266,406.1773,-642.9015,2103.812,469.7729,-97.83883,2567.084,459.3484,-171.0936,2201.765,407.7389,-506.4665,2178.09,377.2533,-553.1752,2068.977,422.2589,194.5298,2750.528,74.95897,-163.1563,2525.63,85.75673,-140.7747,2596.576,596.1848,-215.2692,2316.492,624.6937,-192.0981,2365.011
04/06/2016-06:43:06.674,220,405.0769,-98.50866,2602.305,413.4807,71.32459,2688.948,441.8319,361.7106,2762.015,434.9459,236.504,2757.838,269.7814,143.2772,2783.654,163.1601,-42.90877,2770.69,109.8325,-135.8036,2650.265,113.4363,-136.58,2631.649,581.9513,134.8595,2700.484,660.28,-57.31746,2633.874,640.9857,-173.5703,2458.802,629.8812,-179.5494,2430.083,331.312,-97.1853,2587.66,264.7533,-178.6978,2302.047,433.4456,-594.5645,2213.577,402.7818,-643.8924,2101.451,469.8071,-99.25443,2566.869,458.467,-171.5295,2200.83,407.7689,-506.6064,2178.371,377.1865,-553.9384,2068.978,429.6248,195.2101,2743.118,89.06616,-157.722,2538.53,94.08873,-139.9041,2596.866,610.2171,-215.9324,2327.405,644.8558,-185.8362,2416.279
04/06/2016-06:43:06.706,252,404.9286,-98.54384,2602.466,417.2766,70.80055,2686.649,452.4036,361.7459,2753.365,440.7169,236.835,2751.268,273.6495,150.0835,2781.903,165.9716,-34.49568,2770.446,111.7849,-133.9422,2644.694,112.9785,-134.6021,2607.331,586.2294,134.3653,2696.012,659.4113,-59.00092,2626.618,630.1903,-185.2994,2439.183,622.992,-188.198,2418.036,330.8969,-96.60657,2588.084,265.0129,-178.6147,2301.56,432.7378,-594.8575,2213.22,400.9691,-644.2197,2100.376,470.3514,-100.6012,2566.873,457.6679,-172.2218,2200.006,407.554,-507.0446,2178.239,376.8953,-554.7015,2068.219,435.014,195.4223,2737.401,87.51951,-164.0887,2514.041,86.22644,-140.2869,2570.004,602.1437,-214.0409,2323.303,642.9404,-194.9906,2419.043
04/06/2016-06:43:06.795,341,405.386,-98.66479,2602.779,424.8979,70.33508,2681.199,470.9091,361.5447,2737.58,450.8325,236.7859,2739.411,281.8536,160.1839,2776.387,168.927,-29.19482,2766.975,113.8815,-130.2089,2631.306,102.1433,-143.9124,2556.264,596.5106,131.6457,2687.252,658.5919,-60.54011,2621.318,620.7454,-192.0412,2434.493,604.2782,-201.6723,2386.39,331.1875,-95.45415,2588.773,264.69,-178.3548,2300.73,431.1269,-595.3184,2213.76,400.1207,-643.6352,2100.493,472.9308,-103.0828,2566.883,435.8412,-155.4364,2182.471,430.6763,-492.7359,2185.202,404.3613,-536.6697,2073.219,444.701,195.4627,2726.91,72.28009,-178.7246,2468.819,73.25025,-153.1186,2524.257,579.74,-220.9607,2314.145,618.7291,-213.6907,2365.101
04/06/2016-06:43:06.839,385,406.422,-98.77464,2603.042,431.5256,70.11435,2676.072,481.2895,361.3449,2728.897,457.4063,236.3463,2731.682,287.2262,165.9782,2772.525,170.3032,-28.40209,2763.126,115.0256,-127.6176,2620.644,94.46738,-149.0506,2528.064,604.3395,128.6763,2680.836,658.2347,-61.71175,2618.673,617.4675,-192.1715,2440.997,589.6362,-210.7821,2359.716,332.2957,-93.94164,2589.131,264.3242,-177.8994,2299.835,430.1373,-595.4852,2214.371,400.1125,-642.6396,2101.011,475.4626,-104.9856,2566.926,421.9183,-144.4168,2171.666,443.7149,-484.256,2188.099,421.413,-524.4796,2074.346,451.411,195.2061,2719.603,42.42064,-202.0832,2446.14,72.03114,-146.9604,2511.781,564.1749,-227.3164,2303.739,601.0449,-224.7088,2320.925
04/06/2016-06:43:06.907,452,407.4513,-98.84155,2603.243,435.7038,70.09908,2672.592,487.705,361.1257,2723.811,461.9155,235.9124,2726.602,291.0984,169.3162,2769.641,171.1308,-28.89504,2759.833,116.6025,-124.6034,2614.573,91.74706,-151.3918,2518.264,609.8953,126.2371,2676.547,658.3667,-62.86705,2617.601,619.1959,-188.8693,2451.019,584.7985,-214.8343,2351.738,333.4302,-92.47704,2589.323,264.1256,-177.5207,2298.616,429.5028,-595.6455,2214.801,400.2428,-641.9307,2101.355,477.3167,-106.2454,2566.921,440.525,-154.9057,2188.803,420.8068,-488.3661,2175.241,430.782,-571.2335,2122.302,455.8082,194.9603,2714.837,28.73459,-211.5017,2440.461,69.25836,-151.1845,2503.671,559.8223,-231.9563,2299.963,602.6119,-226.229,2318.793
04/06/2016-06:43:06.935,481,408.485,-98.85889,2603.317,438.1975,70.10497,2670.392,490.4772,360.9145,2722.197,465.1101,235.4008,2723.777,292.8254,170.3756,2768.452,171.9358,-28.64701,2756.158,117.5998,-123.0753,2613.458,91.62887,-151.6348,2519.438,612.5429,124.7719,2674.701,658.8897,-63.93886,2617.325,622.3205,-185.9088,2457.761,589.3282,-214.1617,2358.812,334.6697,-91.12158,2589.198,264.0552,-177.2716,2297.572,429.2471,-595.7191,2215.009,400.2981,-641.4771,2101.413,478.3531,-106.882,2566.873,462.7857,-169.5793,2207.96,437.0664,-539.7067,2240.578,445.9608,-644.7853,2184.418,458.7192,194.6069,2712.138,32.96084,-201.2288,2445.949,72.60508,-149.5558,2511.323,569.5055,-235.0065,2302.417,616.8355,-213.763,2355.901
