TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/05/2016-01:41:31.833,29,329.6919,-188.9562,2585.817,318.4257,66.03051,2634.562,311.1973,453.8093,2671.039,309.4561,314.2597,2673.614,96.83224,226.4411,2701.971,-36.94545,-5.115972,2701,-56.70907,-177.3871,2568.203,-50.19552,-242.1024,2436.4,484.2137,192.034,2591.882,548.0292,-34.07227,2493.123,396.2728,-119.4504,2368.206,295.5555,-141.6012,2318.513,249.1378,-190.4367,2568.774,-77.29702,-217.4586,2382.325,-5.289115,-628.0701,2244.5,-8.626472,-669.4445,2189.657,402.2054,-181.6292,2542.132,364.4063,-284.5844,2172.037,241.4945,-703.6982,2110.199,201.5737,-717.671,1978.59,311.809,253.0626,2665.809,-49.65226,-291.3698,2413.263,-14.43738,-166.435,2407.202,243.6221,-148.069,2306.15,311.5312,-175.3684,2263.617
04/05/2016-01:41:31.886,82,330.3475,-187.7207,2586.869,320.0053,67.32692,2636.783,313.8659,454.9788,2675.783,310.9062,315.3829,2676.459,98.62558,227.6405,2703.52,-36.02171,-4.440607,2700.894,-56.5663,-176.7903,2568.138,-50.16219,-240.9486,2437.258,485.326,191.9855,2593.111,549.6593,-35.12606,2494.668,398.4812,-119.386,2369.367,296.5074,-144.0895,2319.102,249.516,-189.0379,2569.579,-76.89806,-217.4016,2382.891,3.40833,-656.4882,2236.897,64.53561,-696.7892,2206.054,403.223,-180.8385,2543.528,364.4122,-283.8243,2173.3,241.6195,-702.9952,2111.22,223.9786,-744.8315,2017.387,313.3122,254.2065,2668.469,-49.84677,-290.9756,2413.052,-14.7619,-166.8561,2407.114,251.177,-146.4384,2307.066,322.7826,-180.0318,2241.756
04/05/2016-01:41:31.921,117,330.951,-186.6431,2587.793,321.2558,68.32887,2638.468,315.626,455.5911,2679.21,312.4102,316.4037,2678.955,100.0192,228.5729,2704.675,-35.15056,-3.827093,2700.755,-56.38259,-176.2421,2568.139,-50.04949,-240.4748,2437.483,486.3949,191.9725,2594.461,550.7444,-36.22761,2495.425,398.3353,-119.2682,2368.96,294.0376,-146.9489,2318.405,249.8883,-187.8683,2570.274,-76.48251,-217.3131,2383.468,10.29799,-666.0301,2308.392,63.82161,-690.1523,2235.29,404.1315,-180.119,2544.743,364.6734,-283.3836,2174.502,241.7301,-702.4811,2112.526,245.1841,-768.3267,2049.726,314.74,255.2004,2670.71,-49.91166,-290.5199,2412.898,-14.97666,-167.142,2406.986,253.3657,-147.6084,2308.316,325.5961,-184.2282,2228.029
04/05/2016-01:41:31.984,180,331.4389,-185.8197,2588.462,322.1696,69.02654,2639.559,316.6717,455.8937,2681.452,313.7211,317.1871,2680.76,100.8793,229.1512,2705.383,-34.30795,-3.267826,2700.54,-56.17242,-175.7684,2568.155,-49.92535,-239.6999,2437.895,487.6094,191.9279,2596.112,551.6277,-38.63516,2495.419,395.3051,-117.0839,2366.026,296.1618,-143.1528,2313.823,250.1979,-186.9847,2570.761,-76.05844,-217.395,2383.935,-53.06437,-665.9061,2397.642,7.940149,-667.0611,2270.58,404.8503,-179.5462,2545.631,365.007,-283.0991,2175.445,241.7438,-702.0407,2113.876,257.5464,-781.2249,2067.781,315.9391,255.9519,2672.301,-49.95911,-290.4706,2412.898,-13.93047,-166.098,2406.847,256.8695,-146.4136,2307.185,329.1162,-171.8731,2243.051
04/05/2016-01:41:32.025,221,331.8513,-185.1944,2588.901,322.8366,69.50584,2640.211,317.2257,455.9937,2682.598,314.6856,317.7049,2681.87,101.3411,229.4635,2705.764,-33.47123,-2.731226,2700.334,-55.9652,-175.326,2568.195,-49.8627,-239.4317,2438.01,488.7373,191.8633,2597.647,552.4559,-41.42756,2495.181,391.7685,-115.1311,2362.486,302.2021,-137.301,2309.353,250.4847,-186.2948,2571.056,-75.6851,-217.4718,2384.403,-91.9054,-661.5685,2441.917,-35.82518,-657.7269,2295.899,405.4149,-179.0976,2546.231,365.3611,-282.9356,2176.135,241.7438,-701.7092,2115.074,254.2848,-773.1389,2058.312,316.8293,256.4598,2673.29,-49.92823,-290.278,2412.877,-13.4672,-165.5872,2406.819,261.7573,-144.27,2303.438,330.5223,-161.0444,2259.845
04/05/2016-01:41:32.088,284,332.2038,-184.7158,2589.216,323.3497,69.85787,2640.638,317.5119,456.0312,2683.086,315.2974,318.015,2682.459,101.6245,229.664,2705.986,-32.77799,-2.270342,2700.135,-55.71797,-174.9382,2568.221,-49.80016,-239.1813,2438.1,489.6428,191.7958,2598.879,553.604,-43.60508,2495.185,392.7712,-113.9026,2359.659,328.5334,-127.3405,2298.798,250.736,-185.752,2571.242,-75.35827,-217.5572,2384.801,-62.61644,-654.2515,2438.495,-57.76699,-664.8699,2304.253,405.8911,-178.7453,2546.701,365.5798,-281.8555,2176.703,241.9166,-700.6355,2115.815,226.5581,-736.6572,2013.626,317.4279,256.785,2673.852,-49.98,-290.2826,2412.776,-13.09941,-165.1688,2406.838,286.1081,-141.6134,2283.177,358.0442,-148.8601,2268.919
04/05/2016-01:41:32.139,335,332.528,-184.2938,2589.478,323.7755,70.17127,2641.001,317.7063,456.0716,2683.331,315.65,318.2301,2682.811,101.8513,229.8266,2706.142,-32.23935,-1.904825,2699.975,-55.49887,-174.6136,2568.235,-49.76217,-239.0637,2438.047,490.3614,191.7512,2599.84,554.7983,-44.86655,2495.54,399.2578,-119.4229,2359.707,344.4395,-123.0784,2291.924,250.9814,-185.2549,2571.384,-75.07976,-217.5864,2385.177,-62.04359,-650.8953,2402.244,-34.92314,-667.6136,2289.257,406.3087,-178.44,2547.107,365.6737,-279.7971,2177.123,242.3092,-698.7311,2116.073,207.791,-711.0818,1983.184,317.8138,257.0283,2674.227,-50.08346,-290.1516,2412.626,-12.98151,-165.0167,2406.889,299.5009,-143.9576,2270.361,377.8136,-146.4668,2265.73
04/05/2016-01:41:32.188,383,332.9268,-183.8421,2589.709,324.1602,70.46612,2641.332,317.8792,456.1327,2683.578,315.8652,318.3975,2683.07,102.0842,229.9915,2706.275,-31.82493,-1.604539,2699.842,-55.28996,-174.2836,2568.202,-49.71486,-238.8848,2438.065,490.9666,191.791,2600.677,556.0784,-45.47583,2496.025,404.5518,-123.5639,2360.582,353.5451,-122.6682,2286.728,251.3195,-184.7175,2571.463,-74.79643,-217.5189,2385.616,-53.60744,-651.28,2366.421,0.6671734,-670.7459,2263.724,406.7859,-178.1142,2547.504,365.8115,-277.8264,2177.42,242.7874,-696.8448,2115.937,200.9287,-701.1526,1971.902,318.0777,257.2245,2674.52,-50.39825,-290.2617,2412.498,-13.04846,-165.0454,2406.839,310.6893,-150.7598,2258.07,387.0963,-148.7019,2250.643
04/05/2016-01:41:32.251,447,333.3496,-183.3595,2589.886,324.5106,70.75625,2641.635,318.0338,456.2095,2683.88,316.048,318.5713,2683.346,102.328,230.1555,2706.391,-31.49825,-1.364426,2699.741,-55.10806,-173.9879,2568.162,-49.62641,-238.921,2437.82,491.559,191.925,2601.501,557.1124,-45.72351,2496.377,408.087,-126.5305,2361.446,355.0787,-125.6251,2283.756,251.6909,-184.1642,2571.508,-74.52837,-217.428,2386.069,-60.76488,-654.207,2349.825,22.65003,-670.0417,2249.399,407.2587,-177.7584,2547.801,365.7503,-274.9017,2177.354,248.064,-682.4114,2143.913,223.6112,-711.4319,2029.632,318.3011,257.4194,2674.81,-50.58136,-290.3441,2412.598,-13.16199,-165.118,2406.82,313.7556,-156.0111,2253.027,390.9763,-152.018,2241.641
04/05/2016-01:41:32.318,514,333.7605,-182.8621,2589.993,324.8082,71.03947,2641.89,318.1561,456.3286,2684.342,316.2131,318.7837,2683.672,102.5487,230.2993,2706.487,-31.238,-1.166865,2699.659,-54.93954,-173.709,2568.107,-49.55125,-238.4296,2438.127,492.122,192.1061,2602.266,558.1584,-45.8479,2496.601,409.4477,-127.7806,2362.019,350.5186,-129.9714,2282.902,252.0554,-183.6154,2571.502,-74.30881,-217.2766,2386.562,-103.9839,-651.1609,2409.895,-9.77133,-657.1646,2294.369,407.7018,-177.3797,2547.999,365.6722,-272.7142,2177.165,251.3895,-673.7192,2161.677,246.0514,-725.9711,2081.786,318.4953,257.6376,2675.114,-50.77357,-290.5836,2413.041,-13.18154,-165.0752,2406.821,311.9017,-161.0282,2252.468,387.7621,-155.1657,2235.883
