TimeStamp, ElapsedMilliseconds,SpineBase-X,SpineBase-Y,SpineBase-Z,SpineMid-X,SpineMid-Y,SpineMid-Z,Neck-X,Neck-Y,Neck-Z,Head-X,Head-Y,Head-Z,ShoulderLeft-X,ShoulderLeft-Y,ShoulderLeft-Z,ElbowLeft-X,ElbowLeft-Y,ElbowLeft-Z,WristLeft-X,WristLeft-Y,WristLeft-Z,HandLeft-X,HandLeft-Y,HandLeft-Z,ShoulderRight-X,ShoulderRight-Y,ShoulderRight-Z,ElbowRight-X,ElbowRight-Y,ElbowRight-Z,WristRight-X,WristRight-Y,WristRight-Z,HandRight-X,HandRight-Y,HandRight-Z,HipLeft-X,HipLeft-Y,HipLeft-Z,KneeLeft-X,KneeLeft-Y,KneeLeft-Z,AnkleLeft-X,AnkleLeft-Y,AnkleLeft-Z,FootLeft-X,FootLeft-Y,FootLeft-Z,HipRight-X,HipRight-Y,HipRight-Z,KneeRight-X,KneeRight-Y,KneeRight-Z,AnkleRight-X,AnkleRight-Y,AnkleRight-Z,FootRight-X,FootRight-Y,FootRight-Z,SpineShoulder-X,SpineShoulder-Y,SpineShoulder-Z,HandTipLeft-X,HandTipLeft-Y,HandTipLeft-Z,ThumbLeft-X,ThumbLeft-Y,ThumbLeft-Z,HandTipRight-X,HandTipRight-Y,HandTipRight-Z,ThumbRight-X,ThumbRight-Y,ThumbRight-Z
04/06/2016-03:25:20.990,44,13.3548,-171.8313,2946.236,45.66721,70.99703,2981.747,68.67162,447.6848,2995.823,74.51615,310.6261,3006.314,-107.5452,211.7823,2992.75,-203.5709,44.12575,2910.831,-229.6398,-64.22317,2731.674,-168.7448,-72.25208,2592.721,234.5278,213.6516,2942.664,272.3806,47.97957,2812.496,202.1133,-71.91218,2649.696,201.7329,-65.14458,2650.276,-61.29165,-167.4457,2934.179,-128.9037,-138.7035,2518.999,-133.4173,-618.5202,2415.075,-108.5268,-672.9878,2314.096,87.74805,-172.8713,2901.832,123.4434,-154.1672,2492.95,-5.964759,-611.6223,2386.434,-44.43205,-685.8328,2308.796,67.97234,251.1415,3002.209,-185.8017,-96.64305,2531.005,-212.8387,-104.2719,2585.929,187.302,-115.8562,2523.294,197.7084,-46.1698,2626.83
04/06/2016-03:25:21.029,83,13.17352,-171.8022,2946.122,45.48389,71.01579,2981.639,68.67155,447.6815,2995.825,74.49558,310.6023,3006.302,-107.5026,211.7337,2992.832,-203.5586,44.11332,2910.845,-229.2596,-64.12743,2731.528,-161.8342,-72.93015,2588.278,234.5292,213.6508,2942.664,272.3954,47.97655,2812.486,201.3667,-71.00685,2650.881,200.3369,-65.11031,2648.127,-61.48446,-167.4156,2934.057,-128.8757,-138.6563,2519.054,-116.7904,-625.9032,2430.019,-139.323,-665.6667,2325.362,87.57774,-172.8458,2901.726,123.4429,-154.174,2492.953,5.778553,-633.8759,2375.253,-60.39181,-687.4581,2298.602,67.91106,251.123,3002.174,-142.8734,-101.9843,2520.754,-207.5011,-102.403,2571.951,178.1206,-106.4641,2523.754,200.1892,-46.17317,2631.484
04/06/2016-03:25:21.066,120,13.11367,-171.7842,2946.086,45.37238,71.03196,2981.583,68.67108,447.6769,2995.829,74.47751,310.5807,3006.294,-107.4926,211.7232,2992.848,-203.5485,44.09802,2910.864,-229.0388,-64.13182,2731.514,-156.0925,-72.16914,2588.523,234.531,213.6501,2942.664,272.407,47.97745,2812.48,200.9258,-70.53878,2651.577,199.3279,-66.64213,2642.35,-61.56074,-167.3959,2934.009,-128.8339,-138.5129,2519.172,-103.0281,-630.9252,2443.086,-134.0531,-664.1348,2322.568,87.54227,-172.8206,2901.709,123.4395,-154.1736,2492.965,4.190348,-649.0094,2363.23,-68.03662,-690.1311,2284.408,67.86082,251.1079,3002.15,-113.1213,-96.12295,2517.24,-200.7256,-97.36494,2561.605,166.3052,-99.88872,2525.474,197.2548,-48.37001,2625.267
04/06/2016-03:25:21.126,180,13.25739,-171.8461,2946.066,45.32232,71.03082,2981.558,68.66923,447.6671,2995.833,74.45411,310.548,3006.296,-107.4683,211.6935,2992.912,-203.5385,44.08776,2910.886,-229.0495,-64.19148,2731.595,-156.9156,-71.69709,2589.702,234.5327,213.6493,2942.664,272.4149,47.98094,2812.481,200.7975,-70.38634,2651.828,197.9584,-69.13982,2635.326,-61.42924,-167.4802,2933.949,-128.8064,-138.4148,2519.265,-92.1285,-636.2114,2454.386,-124.0137,-664.705,2318.292,87.71841,-172.8672,2901.733,123.4368,-154.1736,2492.975,-11.58603,-645.4313,2362.861,-65.71741,-688.7458,2276.493,67.81478,251.0857,3002.137,-134.8757,-94.04417,2525.137,-198.0473,-97.97288,2551.388,169.5787,-99.54303,2533.658,191.3813,-50.48812,2616.88
04/06/2016-03:25:21.168,222,13.5053,-171.9547,2946.021,45.30146,71.0221,2981.547,68.66609,447.6564,2995.835,74.42706,310.5119,3006.304,-107.4727,211.6836,2992.925,-203.5367,44.06196,2910.913,-229.0984,-64.23463,2731.664,-160.0876,-70.75253,2591.699,234.534,213.6486,2942.664,272.4223,47.98441,2812.483,200.8237,-70.37881,2651.85,197.8788,-70.88678,2631.631,-61.17876,-167.6237,2933.848,-128.794,-138.3653,2519.315,-111.0409,-631.624,2429.188,-110.2144,-669.1229,2311.059,87.98372,-172.9509,2901.743,123.4344,-154.1779,2492.995,-21.1103,-637.1095,2367.187,-56.03101,-686.1024,2280.726,67.77222,251.0619,3002.13,-172.8875,-96.45526,2532.954,-196.362,-98.04624,2545.354,173.5593,-102.1993,2536.519,187.1296,-53.51033,2609.286
04/06/2016-03:25:21.223,277,13.63943,-172.0572,2945.981,45.27188,71.00055,2981.53,68.66229,447.6439,2995.834,74.39878,310.472,3006.312,-107.4731,211.6729,2992.952,-203.5371,44.04823,2910.941,-229.1338,-64.25727,2731.723,-168.3965,-70.55727,2593.806,234.5348,213.648,2942.665,272.4625,47.99756,2812.478,200.8584,-70.35473,2651.872,198.0433,-71.40214,2630.718,-61.02294,-167.7421,2933.767,-128.7908,-138.3495,2519.338,-150.7317,-621.7611,2421.271,-100.657,-671.7673,2307.069,88.10279,-173.0611,2901.739,123.4319,-154.1609,2493.043,-28.47731,-632.6586,2354.396,-39.5218,-679.1928,2243.485,67.72852,251.0339,3002.123,-200.3576,-98.63283,2538.265,-199.9231,-91.51011,2564.401,178.0816,-105.3707,2536.292,183.8361,-56.08604,2604.495
04/06/2016-03:25:21.288,342,13.71413,-172.1534,2945.93,45.23258,70.97419,2981.506,68.65422,447.6254,2995.829,74.36722,310.4276,3006.324,-107.5007,211.6766,2992.939,-203.5459,44.02541,2910.968,-229.1471,-64.26889,2731.747,-173.6049,-70.82519,2594.974,234.5353,213.6476,2942.665,272.5071,48.04006,2812.48,200.6178,-70.23166,2652.24,198.5256,-70.67695,2632.665,-60.91499,-167.8481,2933.672,-128.7927,-138.3568,2519.341,-143.2554,-619.8235,2425.364,-99.63486,-672.3747,2307.552,88.14596,-173.1755,2901.717,123.4274,-154.1374,2493.099,-21.58728,-630.1639,2354.002,-46.7441,-682.4666,2261.751,67.68207,251.0027,3002.117,-206.3624,-102.9128,2537.372,-209.8217,-98.65693,2584.528,179.8676,-106.4268,2535.158,183.7389,-56.61404,2604.76
04/06/2016-03:25:21.349,403,13.70162,-172.2997,2945.944,45.17064,70.92528,2981.489,68.64468,447.6041,2995.82,74.33223,310.371,3006.335,-107.5183,211.673,2992.93,-203.5586,43.99843,2910.994,-229.1618,-64.29211,2731.771,-176.2176,-71.06101,2595.311,234.5357,213.6475,2942.665,272.5547,48.09263,2812.479,200.3018,-70.07674,2652.694,199.085,-69.33673,2635.491,-60.87965,-167.9399,2933.615,-128.7952,-138.3684,2519.341,-110.7586,-633.7099,2453.479,-104.4795,-669.9099,2313.397,88.02376,-173.4829,2901.895,123.4279,-154.1098,2493.14,-17.46667,-630.5766,2354.874,-45.25829,-674.7065,2252.706,67.62846,250.9582,3002.111,-201.1137,-108.5956,2534.249,-214.8754,-104.1764,2589.5,179.1495,-84.47265,2571.694,189.6572,-50.34265,2610.903
04/06/2016-03:25:21.395,449,13.65472,-172.4526,2945.987,45.10268,70.86755,2981.475,68.60877,447.5358,2995.762,74.29811,310.3038,3006.343,-107.5851,211.6767,2992.845,-203.566,43.95804,2910.992,-229.6564,-64.9673,2732.13,-157.7046,-77.11075,2581.711,234.5363,213.6473,2942.665,272.5999,48.14865,2812.478,200.127,-69.93101,2652.982,199.1917,-68.82468,2636.234,-60.87799,-168.0157,2933.584,-128.7943,-138.3728,2519.34,-77.20393,-647.261,2477.54,-109.5008,-667.2692,2318.665,87.85654,-173.8198,2902.127,123.4297,-154.0823,2493.173,-14.0196,-633.5154,2356.612,-45.30334,-672.1449,2248.361,67.57385,250.9042,3002.103,-142.3876,-109.0477,2508.863,-215.2743,-111.4242,2581.863,180.0318,-90.43467,2561.794,191.7969,-48.14835,2613.794
04/06/2016-03:25:21.442,496,13.58969,-172.6518,2946.11,45.02964,70.79576,2981.476,68.54613,447.4225,2995.65,74.26472,310.2293,3006.349,-107.6259,211.658,2992.817,-203.5809,43.92937,2910.961,-230.1904,-65.73463,2732.501,-147.3202,-78.73751,2578.48,234.5369,213.6472,2942.665,272.6327,48.17669,2812.454,200.0283,-69.79427,2653.083,198.4356,-68.34006,2633.534,-60.88638,-168.1009,2933.596,-128.7852,-138.3659,2519.341,-59.21847,-653.8278,2489.424,-143.3596,-661.3729,2338.529,87.66346,-174.2146,2902.48,123.4329,-154.0575,2493.196,-18.43997,-638.8751,2355.953,-45.81299,-673.5138,2235.542,67.51859,250.8422,3002.096,-107.438,-107.1653,2500.26,-212.2211,-112.412,2572.605,175.8933,-95.75454,2544.459,191.5036,-46.99744,2613.493
